Author,Date,Author Name,Role,Message,Video Time,ID
https://yt4.ggpht.com/aMY9ti9o7RinaTNBSaOiFfCzVGcu4dNMTebLJUkiZCqjxTawuxmB7aJu6hjel6XvsKgYfXtdXw=s32-c-k-c0x00ffffff-no-rj,2023-06-08T16:10:00.000Z,KAZ?CEL,,これガチか？,0:00:10,ChwKGkNON2lqTWJFaHY0Q0ZXUVM1d29kcFFzS21n
https://yt4.ggpht.com/ytc/AGIKgqMa_5gD4HrWi7dstchB1-K5ZOaZ-elxvzIFFQtUcit3og=s32-c-k-c0x00ffffff-no-rj,2023-06-08T16:10:00.000Z,冯小天天,,广快直播,0:00:10,ChwKGkNMNlJqOGJFaHY0Q0ZSZkN3Z1FkVXdrRDlB
https://yt4.ggpht.com/ytc/AGIKgqPIGf_E66vMUTjuEec4ULQp7SJCYO4aj1VfmZd4urSxXG7jQUqA4Ot-oqgTVr-pGZg=s32-c-k-c0x00ffffff-no-rj,2023-06-08T16:10:00.000Z,あろまおいる,,まじでやるのか？？,0:00:10,ChwKGkNNRzhrY2JFaHY0Q0Zhb1JyUVlkYWpVQW1R
https://yt4.ggpht.com/ytc/AGIKgqOVeq9rXCVvFS2ISG_At91voe4uIgnJtLmHZNdCYw=s32-c-k-c0x00ffffff-no-rj,2023-06-08T16:10:00.000Z,若頭補佐長門あき,,あっマジでやるのか！？,0:00:10,ChwKGkNJMl9sOGJFaHY0Q0ZYWEJ3Z1FkRjhJRDJR
https://yt4.ggpht.com/ytc/AGIKgqN-81gCyW8JBa2tcN0KeR9PoxgB3B0eKwYeig=s32-c-k-c0x00ffffff-no-rj,2023-06-08T16:11:00.000Z,??,,1? 5??? ???? ??,0:00:11,ChwKGkNOenpzc2JFaHY0Q0ZXN0V3Z1FkZUY4RE5R
https://yt4.ggpht.com/PxvGsRkz5abLNLo87uxge65WR7NlJ8iQl0JvKhizJUPg0TNAqu9lxBufQw8WWfjkDeHsbowQmA=s32-c-k-c0x00ffffff-no-rj,2023-06-08T16:11:00.000Z,古至真,,うおおおおおおおおおおおおおおおお,0:00:11,ChwKGkNLakF2c2JFaHY0Q0ZaNGpyUVlkc25NSmhR
https://yt4.ggpht.com/ytc/AGIKgqMKcsB6srtRU4N3SVsRn4DWr20FnJb0Pq-PDtl4Xg=s32-c-k-c0x00ffffff-no-rj,2023-06-08T16:11:00.000Z,うな,,まじでこの企画するのかｗ,0:00:11,ChwKGkNMbWMxTWJFaHY0Q0ZjN0N3Z1FkTWxNR2xB
https://yt4.ggpht.com/BhLM_QprMZFWmixsBAqVKI3gRbVEr9eCSavSOQ_9X5x2DLk3ajKBARcf_9X8KAgtm2LdfEoo7Q=s32-c-k-c0x00ffffff-no-rj,2023-06-08T16:18:00.000Z,かき氷,,寝るなーーー！,0:00:00,ChwKGkNQXzVzTFhFaHY0Q0ZYM0N3Z1FkWGNjQjlB
https://yt4.ggpht.com/ytc/AGIKgqNwSpOGajZX8NEviEw1YcOF7iE0Rf2bDKrJvA=s32-c-k-c0x00ffffff-no-rj,2023-06-08T16:18:00.000Z,sazaso,,眠いよ,0:00:00,ChwKGkNLbkV6clhFaHY0Q0ZmZkN3Z1FkZkNBRVF3
https://yt4.ggpht.com/NTTvBkHzx4BPnBAWPSg5mFF0-qLJeQv9k-F2fmzrkWFcWmbu-rRwHycvQHYyCKPu8sRLDRd9Rg=s32-c-k-c0x00ffffff-no-rj,2023-06-08T16:17:00.000Z,りんご,,お昼まで配信ある！？,0:00:00,ChwKGkNJMkk2YlhFaHY0Q0ZYWEJ3Z1FkRjhJRDJR
